converges,firstSteps,goalCount,finalGen,finalSteps,finalGoalCount
56,66,166,100,50,339
48,56,310,100,49,309
50,57,288,100,57,333
46,57,281,100,56,304
49,56,289,100,49,335
51,59,54,100,57,307
51,57,15,100,55,331
56,65,307,100,50,357
50,57,293,100,55,336
51,59,115,100,57,285
56,61,7,100,56,331
51,60,66,100,59,307
51,59,58,100,58,309
47,54,317,100,50,344
51,62,285,100,54,331
54,59,107,100,56,301
48,57,293,100,56,310
51,59,12,100,57,304
51,60,105,100,47,330
52,62,282,100,56,350
53,62,289,100,59,309
56,63,9,100,55,308
54,62,264,100,56,325
49,56,294,100,54,328
51,59,51,100,54,312
51,60,60,100,54,311
50,51,322,100,49,315
50,57,305,100,56,281
51,58,157,100,57,332
51,60,118,100,57,314
59,65,296,100,58,307
51,59,133,100,51,329
62,68,277,100,56,305
54,52,287,100,50,329
51,58,85,100,56,326
51,61,286,100,56,313
51,60,106,100,55,291
56,64,108,100,56,329
56,63,138,100,58,309
51,61,209,100,55,319
51,60,280,100,56,339
46,54,292,100,50,335
51,58,127,100,57,335
50,57,285,100,50,343
51,59,103,100,54,304
48,56,45,100,56,315
51,61,276,100,54,306
46,55,53,100,54,327
66,76,264,100,54,325
43,51,100,100,47,355
51,59,10,100,54,345
51,59,82,100,55,320
52,62,273,100,60,303
51,59,119,100,57,331
46,57,261,100,54,332
56,64,16,100,62,314
51,60,237,100,54,341
51,59,94,100,57,302
51,61,251,100,55,307
51,60,64,100,56,309
51,62,288,100,58,314
46,56,246,100,54,340
71,54,204,100,50,313
46,57,345,100,55,321
