converges,firstSteps,goalCount,finalGen,finalSteps,finalGoalCount
49,54,340,100,39,401
,,,100,10000,0
,,,100,10000,0
36,46,362,100,36,377
51,58,349,100,35,379
,,,100,10000,0
34,42,380,100,39,346
41,50,379,100,39,372
36,44,132,100,41,389
41,51,345,100,39,380
86,86,332,100,73,335
,,,100,10000,0
,,,100,10000,0
,,,100,10000,0
36,45,372,100,40,395
,,,100,10000,0
,,,100,10000,0
78,84,347,100,71,366
46,53,131,100,42,393
91,84,326,100,68,369
,,,100,10000,0
57,56,361,100,49,382
,,,100,10000,0
46,49,29,100,37,381
,,,100,10000,0
36,47,362,100,37,377
34,42,388,100,38,385
38,47,369,100,37,370
46,55,182,100,37,394
65,72,344,100,64,355
41,50,88,100,36,391
,,,100,10000,0
94,98,195,100,93,2
39,47,381,100,38,375
43,52,360,100,44,372
46,55,202,100,43,380
49,53,231,100,38,2
36,42,7,100,36,392
42,48,148,100,38,386
,,,100,10000,0
,,,100,10000,0
42,51,379,100,43,371
41,49,148,100,37,371
41,49,135,100,38,372
44,51,378,100,44,384
,,,100,10000,0
41,48,387,100,41,396
,,,100,10000,0
96,88,354,100,79,80
,,,100,10000,0
,,,100,10000,0
36,47,379,100,36,378
,,,100,10000,0
,,,100,10000,0
68,75,341,100,63,357
36,43,153,100,34,395
41,49,57,100,43,360
43,50,357,100,42,371
36,43,131,100,37,376
46,54,101,100,41,370
,,,100,10000,0
,,,100,10000,0
41,48,140,100,35,387
,,,100,10000,0
,,,100,10000,0
41,49,150,100,42,369
41,50,352,100,36,378
,,,100,10000,0
36,44,161,100,38,365
86,87,31,100,81,21
36,44,100,100,38,373
36,45,359,100,39,379
,,,100,10000,0
36,46,393,100,39,378
,,,100,10000,0
,,,100,10000,0
44,51,364,100,33,380
37,47,358,100,36,397
,,,100,10000,0
47,54,192,100,41,380
41,49,332,100,37,390
42,52,386,100,37,381
,,,100,10000,0
41,50,257,100,41,363
41,47,18,100,35,372
96,86,376,100,80,346
36,47,346,100,38,367
,,,100,10000,0
46,54,252,100,43,2
,,,100,10000,0
36,45,187,100,35,392
38,46,244,100,40,377
91,84,375,100,80,14
41,48,97,100,41,372
37,47,389,100,36,392
38,47,358,100,41,368
40,47,368,100,38,389
,,,100,10000,0
36,44,138,100,38,391
,,,100,10000,0
