average_converges,average_first_step,average_goal_count,average_final_steps,average_final_goal_count,null_percent,percent_increase,best_size,level,metric
52,61,172,56,321,0.0,118.39,1,1,euclidean
51,59,183,55,317,0.0,82.74,5,1,euclidean
50,59,169,54,325,0.0,130.31,25,1,euclidean
51,59,184,54,320,0.0,104.34,50,1,euclidean
82,63,235,61,294,0.0,13.27,1,2,euclidean
79,63,242,61,292,0.0,10.92,5,2,euclidean
80,63,247,61,287,0.0,8.55,25,2,euclidean
77,61,227,59,293,0.0,15.89,50,2,euclidean
43,41,347,40,394,0.0,5.51,1,3,euclidean
41,40,347,39,395,0.0,5.76,5,3,euclidean
41,40,334,39,398,0.0,7.98,25,3,euclidean
42,39,291,39,397,0.0,0.0,50,3,euclidean
33,38,182,30,256,26.73,142.65,1,4,euclidean
33,38,169,30,264,27.03,197.2,5,4,euclidean
24,27,118,22,172,48.11,141.25,25,4,euclidean
23,28,124,23,215,41.3,218.46,50,4,euclidean
62,65,174,57,299,0.0,147.39,1,1,manhatten
59,63,220,54,318,0.0,106.1,5,1,manhatten
55,61,182,53,316,0.0,160.88,25,1,manhatten
56,62,198,54,301,0.0,111.84,50,1,manhatten
100,47,226,46,245,19.12,2.99,1,2,manhatten
97,50,233,48,265,13.33,9.15,5,2,manhatten
96,53,239,52,276,6.9,4.88,25,2,manhatten
90,48,207,47,263,14.71,9.38,50,2,manhatten
43,40,340,39,395,0.0,6.74,1,3,manhatten
40,39,361,39,399,0.0,0.0,5,3,manhatten
41,39,314,39,397,0.0,0.0,25,3,manhatten
40,39,306,39,397,0.0,0.0,50,3,manhatten
27,31,154,25,210,37.21,117.26,1,4,manhatten
31,35,172,29,225,34.34,88.01,5,4,manhatten
26,30,141,24,228,38.71,205.67,25,4,manhatten
19,22,102,18,140,56.25,112.87,50,4,manhatten
